show_date;Artist;Title;Album;Year
Oct 23. 2022;Arcade Fire;We Used To Wait;The Suburbs;2010
Oct 23. 2022;Bass Drum of Death;Shattered Me;Bass Drum of Death;2013
Oct 23. 2022;Black Lips;I'll Be With You;I'll Be With You;2009
Oct 23. 2022;Black Rebel Motorcycle Club;Not What You Wanted;Baby 81;2007
Oct 23. 2022;Clap Your Hands Say Yeah;The Skin Of My Yellow Country Teeth;Clap Your Hands Say Yeah;2005
Oct 23. 2022;Cold War Kids;I've Seen Enough;Loyalty To Loyalty;2016
Oct 23. 2022;Compulsive Gamblers;My Love Is a Monster;Bluff City;2012
Oct 23. 2022;Courtney Barnett;Elevator Operator;Sometimes I Sit and Think. and Sometimes I Just Sit;2015
Oct 23. 2022;Day Wave;We Try but We Don't Fit In;We Try but We Don't Fit In;2015
Oct 23. 2022;Deerhunter;Snakeskin;Snakeskin;2015
Oct 23. 2022;Dinosaur Jr.;Start Choppin [2019 Remaster];Where You Been [Expanded & Remastered Edition];2019
Oct 23. 2022;Dr. Dog;Broken Heart;B-Room;2013
Oct 23. 2022;Matt and Kim;I'll Take Us Home;I'll Take Us Home;2009
Oct 23. 2022;Mdou Moctar;Inizgam;Ilana (The Creator);2019
Oct 23. 2022;My Morning Jacket;Aluminum Park;Evil Urges;2008
Oct 23. 2022;Parquet Courts;Uncast Shadow of a Southern Myth;Uncast Shadow of a Southern Myth;2014
Oct 23. 2022;Pixies;Wave of Mutilation (UK Surf);Southland Tales (Original Soundtrack);2020
Oct 23. 2022;Portugal. The Man;All Your Light (Times Like These);In the Mountain in the Cloud;2011
Oct 23. 2022;R.E.M.;Supernatural Superserious;Accelerate (Standard Version);2008
Oct 23. 2022;Strange Names;Luxury;Strange Names LP;2015
Oct 23. 2022;The Black Angels;Young Men Dead;Passover;2008
Oct 23. 2022;The Black Keys;Elevator;Elevator;2006
Oct 23. 2022;The Brian Jonestown Massacre;Caress;Take It From The Man;2008
Oct 23. 2022;The Dead Weather;The Difference Between Us;The Difference Between Us;2010
Oct 23. 2022;The Kills;Fried My Little Brains;Keep On Your Mean Side;2003
Oct 23. 2022;The Libertines;Campaign Of Hate;Campaign Of Hate;2004
Oct 23. 2022;The Pains of Being Pure at Heart;Girl of 1. 000 Dreams;Belong;2011
Oct 23. 2022;The Walkmen;Angela Surf City;Lisbon;2010
Oct 23. 2022;Wavves;Nine Is God;The Music of Grand Theft Auto V. Vol. 1;2013
Oct 23. 2022;Waxahatchee;The Dirt;Ivy Tripp;2015
