start	finish	full_tag
0.892018	331.083725	True
331.083725	634.209438	True
634.209438	812.494068	True
812.494068	896.786524	True
896.786524	1025.897385	True
1025.897385	1200.178503	True
1200.178503	1379.952063	True
1426.818095	1555.569388	True
1555.569388	1943.436916	True
1943.436916	2093.009063	True
2093.009063	2424.701398	True
2462.771882	2807.516955	True
2807.516955	3102.692703	True
3149.77619	3344.30128	True
3344.334563	3480.955465	True
3480.955465	3701.985533	True
3704.791882	3909.709283	True
3955.739637	4178.71481	True
4178.71481	4379.55604	True
4423.387664	4676.557617	True
4676.557617	4875.039501	True
4875.039501	5090.917914	True
5094.225397	5308.650522	True
5319.294603	5467.446037	True
5467.293885	5733.408515	True
5733.408515	5852.701406	True
5856.620272	6056.432336	True
6062.315646	6279.6358	True
6279.597762	6483.408345	True
6521.514558	6755.568655	True
