Show Date;Title;Artist;Album
Jan 19, 2023;Blister In The Sun;Violent Femmes;Violent Femmes
Jan 15, 2023;Blister In The Sun;Violent Femmes;Violent Femmes
Jan 15, 2023;Drivin' On 9;The Breeders;Last Splash
Jan 12, 2023;Frank Sinatra;Cake;Fashion Nugget
Jan 8, 2023 ;Frank Sinatra;Cake;Fashion Nugget
Dec 4, 2022 ;Down By The Water;PJ Harvey;To Bring You My Love
Dec 1, 2022 ;Down By The Water;PJ Harvey;To Bring You My Love
Nov 27, 2022;Gimme The Car;Violent Femmes;Violent Femmes
Nov 20, 2022;Loser;Beck;Mellow Gold
Nov 6, 2022 ;Down By The Water;PJ Harvey;To Bring You My Love
Nov 3, 2022 ;Down By The Water;PJ Harvey;To Bring You My Love
Oct 30, 2022;Breed;Nirvana;Nevermind
Oct 30, 2022;American Music;Violent Femmes;Why Do Birds Sing?
Oct 30, 2022;Someday;The Strokes;Is This It
Oct 30, 2022;Love Spreads;The Stone Roses;Second Coming
Oct 27, 2022;Breed;Nirvana;Nevermind
Oct 27, 2022;American Music;Violent Femmes;Why Do Birds Sing?
Oct 27, 2022;Someday;The Strokes;Is This It
Oct 27, 2022;Love Spreads;The Stone Roses;Second Coming
Oct 20, 2022;Dead Leaves And The Dirty Ground;The White Stripes;White Blood Cells
Oct 13, 2022;Molly's Lips;Nirvana;Incesticide
Oct 2, 2022 ;Up On The Sun;Meat Puppets;Up On The Sun
Sep 29, 2022;Up On The Sun;Meat Puppets;Up On The Sun
Sep 22, 2022;Cannonball;The Breeders;Last Splash
Sep 18, 2022;Cannonball;The Breeders;Last Splash
Sep 18, 2022;Steeler;Judas Priest;British Steel
Aug 28, 2022;Dead Leaves And The Dirty Ground;The White Stripes;White Blood Cells
Aug 25, 2022;Dead Leaves And The Dirty Ground;The White Stripes;White Blood Cells
Aug 21, 2022;Dead Leaves And The Dirty Ground;The White Stripes;White Blood Cells
Aug 21, 2022;About A Girl;Nirvana;Nirvana
Aug 11, 2022;Offend In Every Way;The White Stripes;White Blood Cells
Jul 31, 2022;Down By The Water;PJ Harvey;To Bring You My Love
Jul 28, 2022;Breed;Nirvana;Nevermind
Jul 28, 2022;American Music;Violent Femmes;Why Do Birds Sing?
Jul 28, 2022;Someday;The Strokes;Is This It
Jul 28, 2022;Love Spreads;The Stone Roses;Second Coming
Jul 24, 2022;Breed;Nirvana;Nevermind
Jul 24, 2022;American Music;Violent Femmes;Why Do Birds Sing?
Jul 24, 2022;Someday;The Strokes;Is This It
Jul 24, 2022;Love Spreads;The Stone Roses;Second Coming
Jul 10, 2022;Molly's Lips;Nirvana;Incesticide
Jul 7, 2022 ;Molly's Lips;Nirvana;Incesticide
Jul 3, 2022 ;Dirty Boots;Sonic Youth;Goo
Jul 3, 2022 ;Hard To Explain;The Strokes;Is This It
Jun 30, 2022;Rebound;Sebadoh;Bakesale
