;show_date;Artist;Title;Album;Year
0;Jan 15. 2023;Pappo's Blues;Especies;Pappo's Blues. Vol. 1;1971
1;Jan 15. 2023;Leaf Hound;Stray;Growers Of Mushrooms;2008
2;Jan 15. 2023;Osanna;Non sei vissuto mai;Non sei vissuto mai;2013
3;Jan 15. 2023;Molly Hatchet;Fall Of The Peacemakers (Album Version);No Guts. No Glory;1983
4;Jan 15. 2023;Blue Oyster Cult;Vengeance;Fire of Unknown Origin;2016
5;Jan 15. 2023;Angel Witch;Gorgon;'82 Revisited;2007
6;Jan 15. 2023;Angel Witch;Nowhere To Run;'82 Revisited;2007
7;Jan 15. 2023;Angel Witch;White Witch;'82 Revisited;2007
8;Jan 15. 2023;Angel Witch;Angel Of Death;'82 Revisited;2007
9;Jan 15. 2023;Acutor;Infernal;Dios ha Muerto;1998
10;Jan 15. 2023;Sabbat;Orochie;Charisma;2009
11;Jan 15. 2023;Rotten Tomb;Devourer of Life;Visions of a Dismal Fate;2022
12;Jan 15. 2023;Kringa;Gardens In Bloom;All Stillborn Fires. Lick My Heart;2023
13;Jan 15. 2023;Änterbila;Hemlängtan;Änterbila;2022
14;Jan 15. 2023;Jesus Wept;Psychedelic Degeneracy;Psychedelic Degeneracy;2022
15;Jan 15. 2023;Casket Huffer;Harrowing Mysticism;Filth Ouroboros;2019
16;Jan 15. 2023;Rigor Mortis;Shroud of Gloom;Rigor Mortis (Expanded Edition) [Remastered];1988
17;Jan 15. 2023;Katla;Warcries;Warmongering Luciferians (Chapter 1);2020
18;Jan 15. 2023;Exciter;Under Attack;Heavy Metal Maniac;2009
19;Jan 15. 2023;Exciter;Rising Of The Dead;Heavy Metal Maniac;2009
20;Jan 15. 2023;Exciter;Black Witch;Heavy Metal Maniac;2009
21;Jan 15. 2023;Exciter;Cry Of The Banshee;Heavy Metal Maniac;2009
22;Jan 8. 2023 ;The Nest;Her True Nature;Her True Nature;2022
23;Jan 8. 2023 ;Blut Aus Nord;Tales Of The Old Dreamer;Disharmonium - Undreamable Abysses;2022
24;Jan 8. 2023 ;Messa;Pilgrim;Close;2022
25;Jan 8. 2023 ;Misþyrming;Með hamri;Með hamri;2022
26;Jan 8. 2023 ;Ritual Death;Salomes Dance;Ritual Death;2022
27;Jan 8. 2023 ;Druid Lord;Thirteen Days of Death;Relics Of The Dead;2022
28;Jan 8. 2023 ;Worm;Centuries of Ooze II;Bluenothing;2022
29;Jan 8. 2023 ;Negative Plane;The Other Door;The Pact;2022
30;Jan 8. 2023 ;Darvaza;The Second Woe;Ascending Into Perdition;2022
31;Jan 8. 2023 ;Ritual Fog;Funeral Fumes;Visions of Blasphemy;2022
32;Jan 8. 2023 ;Castrator;Dawa of Yousafzai;Dawa of Yousafzai;2022
33;Jan 8. 2023 ;Midnight;Villainy Wretched Villainy;Let There Be Witchery;2022
34;Jan 8. 2023 ;Spiter;Tortured Soul;Bathe the Babe in Bats' Blood;2022
35;Jan 8. 2023 ;Thulsa Doom;Into the Vaults of Angmar;A Fate Worse Than Death;2022
36;Jan 8. 2023 ;Disfuneral;Dissolved;Blood Red Tentacle;2022
37;Jan 8. 2023 ;Voivod;The World Today;Synchro Anarchy;2022
38;Jan 8. 2023 ;Sonja;Nylon Nights;Loud Arriver;2022
39;Jan 8. 2023 ;Knoll;Throe of Upheaval;Metempiric;2022
40;Jan 8. 2023 ;Innumerable Forms;Deified Tyrants;Philosophical Collapse;2022
41;Jan 8. 2023 ;Epoch of Unlight;All Light Dies;At War With the Multiverse;2022
42;Jan 8. 2023 ;Paul  Lawler;Caring;Moods And Situations;2002
43;Jan 8. 2023 ;Motörhead;Rock 'n' Roll;Rock 'n' Roll (Deluxe Edition);1987
44;Jan 8. 2023 ;Bob Marley & The Wailers;Misty Morning;Kaya - Deluxe Edition;2013
45;Jan 8. 2023 ;Woody Cartel;Boomin';Summer Breezy;2018
46;Jan 1. 2023 ;Negative Plane;The Other Door;The Pact;2022
47;Jan 1. 2023 ;Motörhead;Over the Top (Live at Newcastle City Hall. 30/3/1981);Over the Top (Live at Newcastle City Hall. 30/3/1981);1981
48;Jan 1. 2023 ;Motörhead;Shoot You in the Back (Live at Newcastle City Hall. 30/3/1981);Shoot You in the Back (Live at Newcastle City Hall. 30/3/1981);1981
49;Jan 1. 2023 ;Motörhead;The Hammer (Live at Newcastle City Hall. 30/3/1981);The Hammer (Live at Newcastle City Hall. 30/3/1981);2021
50;Jan 1. 2023 ;Motörhead;Fire Fire (Live at Newcastle City Hall. 30/3/1981);Fire Fire (Live at Newcastle City Hall. 30/3/1981);1981
51;Jan 1. 2023 ;Motörhead;Too Late Too Late (Live at Newcastle City Hall. 30/3/1981);Too Late Too Late (Live at Newcastle City Hall. 30/3/1981);1981
52;Jan 1. 2023 ;Motörhead;Bite the Bullet (Live at Newcastle City Hall. 30/3/1981);Bite the Bullet (Live at Newcastle City Hall. 30/3/1981);1981
53;Jan 1. 2023 ;Motörhead;The Chase Is Better Than the Catch (Live at Newcastle City Hall. 30/3/1981);The Chase Is Better Than the Catch (Live at Newcastle City Hall. 30/3/1981);1981
54;Jan 1. 2023 ;Motörhead;Overkill (Live at Newcastle City Hall. 30/3/1981);Overkill (Live at Newcastle City Hall. 30/3/1981);1981
55;Jan 1. 2023 ;Motörhead;Bomber (Live at Newcastle City Hall. 30/3/1981);Bomber (Live at Newcastle City Hall. 30/3/1981);1981
56;Jan 1. 2023 ;Judas Priest;Genocide (Live);Unleashed In The East;1979
57;Jan 1. 2023 ;Judas Priest;Tyrant (Live);Setlist: The Very Best of Judas Priest Live;2013
58;Jan 1. 2023 ;Judas Priest;Rock Forever (Live);Unleashed In The East;1979
59;Jan 1. 2023 ;Judas Priest;Hell Bent for Leather (Live);Unleashed In The East;1979
60;Jan 1. 2023 ;Judas Priest;Starbreaker (Live);Unleashed In The East;1979
61;Jan 1. 2023 ;Motörhead;Rock 'n' Roll;Rock 'n' Roll (Deluxe Edition);1987
62;Dec 25. 2022;Spinal Tap;Christmas With The Devil;This Is Spinal Tap;2008
63;Dec 25. 2022;Venom;Black Mass;Under a Spell;2010
64;Dec 25. 2022;Nunslaughter;Twisted Spirit;Angelic Dread;2014
65;Dec 25. 2022;Haust;No Christmas;Black Hole X-Mas;2017
