Artist,Title,Album,Length,Year,Genre,Rating,Bitrate,Path,Media
"Judas Priest","Caviar and Meths","Hero, Hero","00:02:02",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-17 Caviar and Meths-Judas Priest.mp3","ziggyShare"
"Judas Priest","Cheater","Hero, Hero","00:02:59",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-13 Cheater-Judas Priest.mp3","ziggyShare"
"Judas Priest","Deceiver","Hero, Hero","00:02:45",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-09 Deceiver-Judas Priest.mp3","ziggyShare"
"Judas Priest","Deep Freeze","Hero, Hero","00:01:57",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-11 Deep Freeze-Judas Priest.mp3","ziggyShare"
"Judas Priest","Diamonds and Rust","Hero, Hero","00:03:16",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-14 Diamonds and Rust-Judas Priest.mp3","ziggyShare"
"Judas Priest","Dreamer Deceiver","Hero, Hero","00:05:54",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-08 Dreamer Deceiver-Judas Priest.mp3","ziggyShare"
"Judas Priest","Dying to Meet You","Hero, Hero","00:06:20",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-06 Dying to Meet You-Judas Priest.mp3","ziggyShare"
"Judas Priest","Genocide","Hero, Hero","00:05:48",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-16 Genocide-Judas Priest.mp3","ziggyShare"
"Judas Priest","Never Satisfied","Hero, Hero","00:04:51",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-07 Never Satisfied-Judas Priest.mp3","ziggyShare"
"Judas Priest","One for the Road","Hero, Hero","00:04:34",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-04 One for the Road-Judas Priest.mp3","ziggyShare"
"Judas Priest","Prelude","Hero, Hero","00:02:02",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-01 Prelude-Judas Priest.mp3","ziggyShare"
"Judas Priest","Rocka Rolla","Hero, Hero","00:03:02",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-03 Rocka Rolla-Judas Priest.mp3","ziggyShare"
"Judas Priest","Run of the Mill","Hero, Hero","00:08:34",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-15 Run of the Mill-Judas Priest.mp3","ziggyShare"
"Judas Priest","Tyrant","Hero, Hero","00:04:27",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-02 Tyrant-Judas Priest.mp3","ziggyShare"
"Judas Priest","Victim of Changes","Hero, Hero","00:07:48",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-05 Victim of Changes-Judas Priest.mp3","ziggyShare"
"Judas Priest","Winter","Hero, Hero","00:03:03",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-10 Winter-Judas Priest.mp3","ziggyShare"
"Judas Priest","Winter Retreat","Hero, Hero","00:01:32",1979,"Heavy Metal",-1,128,"Z:\Tunes\Judas Priest\Hero, Hero-1979\00-12 Winter Retreat-Judas Priest.mp3","ziggyShare"
"Judas Priest","Hot For Love","Turbo","00:04:12",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Hot For Love-Judas Priest.mp3","ziggyShare"
"Judas Priest","Locked In","Turbo","00:04:20",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Locked In-Judas Priest.mp3","ziggyShare"
"Judas Priest","Out In The Cold","Turbo","00:06:28",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Out In The Cold-Judas Priest.mp3","ziggyShare"
"Judas Priest","Parental Guidance","Turbo","00:03:27",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Parental Guidance-Judas Priest.mp3","ziggyShare"
"Judas Priest","Private Property","Turbo","00:04:30",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Private Property-Judas Priest.mp3","ziggyShare"
"Judas Priest","Reckless","Turbo","00:04:20",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Reckless-Judas Priest.mp3","ziggyShare"
"Judas Priest","Rock You All Around The World","Turbo","00:03:37",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Rock You All Around The World-Judas Priest.mp3","ziggyShare"
"Judas Priest","Turbo Lover","Turbo","00:05:34",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Turbo Lover-Judas Priest.mp3","ziggyShare"
"Judas Priest","Wild Nights, Hot & Crazy Days","Turbo","00:04:40",1986,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Turbo-1986\00-Wild Nights, Hot & Crazy Days-Judas Priest.mp3","ziggyShare"
"Iron Maiden","2 Minutes to Midnight","2 Minutes to Midnight/Aces High","00:06:04",1990,"Heavy Metal",-1,128,"Z:\Tunes\Iron Maiden\2 Minutes to Midnight-Aces High-1990\01-2 Minutes to Midnight-Iron Maiden.mp3","ziggyShare"
"Corrosion Of Conformity","Loss For Words","Animosity","00:04:06",1985,"Heavy Metal",-1,128,"Z:\Tunes\Corrosion Of Conformity\Animosity-1985\01-Loss For Words-Corrosion Of Conformity.mp3","ziggyShare"
"David Shankle Group","Ashes To Ashes","Ashes to Ashes","00:04:40",2003,"Heavy Metal",-1,192,"Z:\Tunes\David Shankle Group\Ashes to Ashes-2003\01-Ashes To Ashes-David Shankle Group.mp3","ziggyShare"
"Iron Maiden","Virus","Best Of The Beast","00:06:14",1996,"Heavy Metal",-1,215,"Z:\Tunes\Iron Maiden\Best Of The Beast-1996\01-Virus-Iron Maiden.mp3","ziggyShare"
"S.O.D.","Bigger Than The Devil","Bigger Than The Devil","00:02:29",2000,"Heavy Metal",-1,256,"Z:\Tunes\S.O.D\Bigger Than The Devil-2000\01-Bigger Than The Devil-S.O.D..mp3","ziggyShare"
"S.O.D.","Seasoning The Obese","Bigger Than The Devil","00:02:41",2000,"Heavy Metal",-1,256,"Z:\Tunes\S.O.D\Bigger Than The Devil-2000\01-Seasoning The Obese-S.O.D..mp3","ziggyShare"
"Black Sabbath","Black Sabbath","Black Box: The Complete Original Black Sabbath (1970-1978)","00:06:18",1970,"Heavy Metal",-1,130,"Z:\Tunes\Black Sabbath\Black Box- The Complete Original Black Sabbath (1970-1978)-1970\01-Black Sabbath-Black Sabbath.m4a","ziggyShare"
"Black Sabbath","Black Sabbath","Black Sabbath","00:06:19",1970,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Black Sabbath-1970\01-Black Sabbath-Black Sabbath.mp3","ziggyShare"
"Black Sabbath","Wheels Of Confusion/The Straightener","Black Sabbath, Vol.4","00:08:02",1972,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Black Sabbath, Vol.4-1972\01-Wheels Of Confusion-The Straightener-Black Sabbath.mp3","ziggyShare"
"Judas Priest","Rapid Fire","British Steel","00:04:08",1980,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\British Steel-1980\01-Rapid Fire-Judas Priest.mp3","ziggyShare"
"Judas Priest","Rapid Fire","British Steel [The Re-Masters]","00:04:08",1980,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\British Steel [The Re-Masters]-1980\01-Rapid Fire-Judas Priest.mp3","ziggyShare"
"Arch Enemy","The Immortal","Burning Bridges","00:03:43",2001,"Heavy Metal",-1,192,"Z:\Tunes\Arch Enemy\Burning Bridges-2001\01-The Immortal-Arch Enemy.mp3","ziggyShare"
"Megadeth","Kill The King","Capitol Punishment: The Megadeth Years","00:03:46",2000,"Heavy Metal",-1,160,"Z:\Tunes\Megadeth\Capitol Punishment- The Megadeth Years-2000\01-Kill The King-Megadeth.mp3","ziggyShare"
"Alestorm","Over The Seas","Captain Morgan's Revenge","00:03:56",2008,"Heavy Metal",-1,128,"Z:\Tunes\Alestorm\Captain Morgan's Revenge-2008\01-Over The Seas-Alestorm.mp3","ziggyShare"
"Pantera","Cowboys From Hell","Cowboys From Hell","00:04:07",1990,"Heavy Metal",-1,192,"Z:\Tunes\Pantera\Cowboys From Hell-1990\01-Cowboys From Hell-Pantera.mp3","ziggyShare"
"Cycle Sluts from Hell","Conqueress","Cycle Sluts from Hell","00:03:30",1991,"Heavy Metal",-1,320,"Z:\Tunes\Cycle Sluts from Hell\Cycle Sluts from Hell-1991\01-Conqueress-Cycle Sluts from Hell.mp3","ziggyShare"
"Judas Priest","Freewheel Burning","Defenders Of The Faith","00:04:25",1984,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Defenders Of The Faith-1984\01-Freewheel Burning-Judas Priest.mp3","ziggyShare"
"Judas Priest","Freewheel Burning","Defenders Of The Faith [Remastered]","00:04:25",1984,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Defenders Of The Faith [Remastered]-1984\01-Freewheel Burning-Judas Priest.mp3","ziggyShare"
"Moi dix Mois","Dix infernal","Dix infernal","00:00:40",2003,"Heavy Metal",-1,192,"Z:\Tunes\Moi dix Mois\Dix infernal-2003\01-Dix infernal-Moi dix Mois.mp3","ziggyShare"
"Mercyful Fate","A Dangerous Meeting","Don't Break The Oath","00:05:09",1984,"Heavy Metal",-1,192,"Z:\Tunes\Mercyful Fate\Don't Break The Oath-1984\01-A Dangerous Meeting-Mercyful Fate.mp3","ziggyShare"
"Wadge","Programmed Deviation","Drum Machine Madness","00:01:27",2003,"Heavy Metal",-1,192,"Z:\Tunes\Drum Machine Madness\Drum Machine Madness-2003\01-Programmed Deviation-Wadge.mp3","ziggyShare"
