Artist;Title;Album;Year
Judas Priest;Caviar and Meths;Hero, Hero;1979
Judas Priest;Cheater;Hero, Hero;1979
Judas Priest;Deceiver;Hero, Hero;1979
Judas Priest;Deep Freeze;Hero, Hero;1979
Judas Priest;Diamonds and Rust;Hero, Hero;1979
Judas Priest;Dreamer Deceiver;Hero, Hero;1979
Judas Priest;Dying to Meet You;Hero, Hero;1979
Judas Priest;Genocide;Hero, Hero;1979
Judas Priest;Never Satisfied;Hero, Hero;1979
Judas Priest;One for the Road;Hero, Hero;1979
Judas Priest;Prelude;Hero, Hero;1979
Judas Priest;Rocka Rolla;Hero, Hero;1979
Judas Priest;Run of the Mill;Hero, Hero;1979
Judas Priest;Tyrant;Hero, Hero;1979
Judas Priest;Victim of Changes;Hero, Hero;1979
Judas Priest;Winter;Hero, Hero;1979
Judas Priest;Winter Retreat;Hero, Hero;1979
Judas Priest;Hot For Love;Turbo;1986
Judas Priest;Locked In;Turbo;1986
Judas Priest;Out In The Cold;Turbo;1986
Judas Priest;Parental Guidance;Turbo;1986
Judas Priest;Private Property;Turbo;1986
Judas Priest;Reckless;Turbo;1986
Judas Priest;Rock You All Around The World;Turbo;1986
Judas Priest;Turbo Lover;Turbo;1986
Judas Priest;Wild Nights, Hot & Crazy Days;Turbo;1986
Iron Maiden;2 Minutes to Midnight;2 Minutes to Midnight/Aces High;1990
Corrosion Of Conformity;Loss For Words;Animosity;1985
David Shankle Group;Ashes To Ashes;Ashes to Ashes;2003
Iron Maiden;Virus;Best Of The Beast;1996
S.O.D.;Bigger Than The Devil;Bigger Than The Devil;2000
S.O.D.;Seasoning The Obese;Bigger Than The Devil;2000
Black Sabbath;Black Sabbath;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;Black Sabbath;Black Sabbath;1970
Black Sabbath;Wheels Of Confusion/The Straightener;Black Sabbath, Vol.4;1972
Judas Priest;Rapid Fire;British Steel;1980
Judas Priest;Rapid Fire;British Steel [The Re-Masters];1980
Arch Enemy;The Immortal;Burning Bridges;2001
Megadeth;Kill The King;Capitol Punishment: The Megadeth Years;2000
Alestorm;Over The Seas;Captain Morgan's Revenge;2008
Pantera;Cowboys From Hell;Cowboys From Hell;1990
Cycle Sluts from Hell;Conqueress;Cycle Sluts from Hell;1991
Judas Priest;Freewheel Burning;Defenders Of The Faith;1984
Judas Priest;Freewheel Burning;Defenders Of The Faith [Remastered];1984
Moi dix Mois;Dix infernal;Dix infernal;2003
Mercyful Fate;A Dangerous Meeting;Don't Break The Oath;1984
Wadge;Programmed Deviation;Drum Machine Madness;2003
Rollins Band;Low Self Opinion;The End of Silence;1992
Edguy;Midgets Of Metal;Evil Minded;1994
Bulldoze;Beatdown;The Final Beatdown;1998
Yngwie Malmsteen;Perpetual;Fire And Ice;1992
Testament;For The Glory Of...;The Formation Of Damnation;2008
Arnocorps;Arno Intro;The Greatest Band of All Time;2005
Judas Priest;Delivering The Goods;Hell Bent For Leather;1978
Judas Priest;Delivering The Goods;Hell Bent For Leather [The Remasters];1978
Stratovarius;Hunting High And Low;Hunting High & Low;2000
Wolfbrigade;The Awakening;In Darkness You Feel No Regrets;2003
Grip Inc.;Curse (Of The Cloth);Incorporated;2004
Stratovarius;Will My Soul Ever Rest In Peace?;Intermission;2001
Iron Maiden;Prowler;Iron Maiden;1980
Finntroll;Krig (Intro);Jaktens Tid;2001
Helloween;Invitation;Keeper Of The Seven Keys Part 2;2006
Metallica;Hit the Lights;Kill 'em All;1983
Iron Maiden;The Ides Of March;Killers;1981
Crumbsuckers;Just Sit There;Life of Dreams;1999
My Bloody Valentine;Only Shallow;Loveless;1991
Wolfpack;March of the Wolves (intro);Lycanthro Punk;1998
Merauder;Time Ends;Master Killer;1996
Black Sabbath;Sweet Leaf;Master of Reality;1971
Dragonforce;The Game;Maximum Overload;2014
Helmet;In The Meantime;Meantime;1992
Mercyful Fate;Evil;Melissa;1983
Mercyful Fate;A Corpse Without Soul;Mercyful Fate;1982
Judas Priest;The Hellion;Metal Works 1973-1993 [Disc1] [1 of 2] [Remast;-1
Judas Priest;The Hellion;Metal Works '73 -'93;1993
Judas Priest;Screaming For Vengeance;Metal Works 73-93 (Disc 2);1993
Black Sabbath;Never Say Die;Never Say Die;1978
Iron Maiden;Tailgunner;No Prayer For The Dying;1990
Moi Dix Mois;Invite to Immorality;Nocturnal Opera;2003
