Artist,Title,Album,Length,Year,Genre,Rating,Bitrate,Path,Media
"Archers of Loaf","Web in Front","Icky Mettle","00:02:05",1994,"Indie",-1,192,"Z:\Tunes\Archers of Loaf\Icky Mettle-1994\01-Web in Front-Archers of Loaf.mp3","ziggyShare"
"Birdland","Shoot You Down","Shoot You Down","00:03:13",1990,"Indie",-1,320,"H:\Downloads\1991\16_Birdland - Shoot You Down.mp3","Audio"
"Chapterhouse","Pearl","Whirlpool","00:05:16",1991,"Indie",-1,1026,"H:\Downloads\1991\Chapterhouse - Pearl.flac","Audio"
"The Charlatans","The Only One I Know","Some Friendly","00:03:57",1990,"Indie",-1,1063,"H:\Downloads\1990\02 - The Charlatans - The Only One I Know.flac","Audio"
"The Darling Buds","Please Yourself","Erotica","00:03:55",1992,"Indie",-1,192,"Z:\Tunes\The Darling Buds\Erotica-1992\05-Please Yourself-The Darling Buds.mp3","ziggyShare"
"Electronic","Get the Message","Electronic","00:05:21",1991,"Indie",100,128,"H:\Downloads\1991\Get the Message.mp3","Audio"
"The Hold Steady","Hornets! Hornets!","Separation Sunday","00:04:47",2005,"Indie",-1,226,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\01-Hornets! Hornets!-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Cattle and the Creeping Things","Separation Sunday","00:03:46",2005,"Indie",-1,229,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\02-Cattle and the Creeping Things-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Your Little Hoodrat Friend","Separation Sunday","00:03:53",2005,"Indie",-1,231,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\03-Your Little Hoodrat Friend-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Banging Camp","Separation Sunday","00:04:14",2005,"Indie",-1,228,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\04-Banging Camp-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Charlemagne in Sweatpants","Separation Sunday","00:03:58",2005,"Indie",-1,225,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\05-Charlemagne in Sweatpants-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Stevie Nix","Separation Sunday","00:05:26",2005,"Indie",-1,200,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\06-Stevie Nix-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Multitude of Casualities","Separation Sunday","00:03:04",2005,"Indie",-1,210,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\07-Multitude of Casualities-Hold Steady, The.mp3","ziggyShare"
"The Hold Steady","Don't Let Me Explode","Separation Sunday","00:02:22",2005,"Indie",-1,205,"Z:\Tunes\The Hold Steady\Separation Sunday-2005\08-Don't Let Me Explode-Hold Steady, The.mp3","ziggyShare"
