;show_date;Artist;Title;Album;Year
1123;0_UNK_0;Archers of Loaf;Web in Front;Icky Mettle;1994
2763;0_UNK_0;Birdland;Shoot You Down;Shoot You Down;1990
4792;0_UNK_0;Chapterhouse;Pearl;Whirlpool;1991
4816;0_UNK_0;The Charlatans;The Only One I Know;Some Friendly;1990
6390;0_UNK_0;The Darling Buds;Please Yourself;Erotica;1992
6391;0_UNK_0;The Darling Buds;Please Yourself;Erotica;1992
8337;0_UNK_0;Electronic;Get the Message;Electronic;1991
10264;0_UNK_0;The Hold Steady;Hornets! Hornets!;Separation Sunday;2005
10265;0_UNK_0;The Hold Steady;Cattle and the Creeping Things;Separation Sunday;2005
10266;0_UNK_0;The Hold Steady;Your Little Hoodrat Friend;Separation Sunday;2005
10267;0_UNK_0;The Hold Steady;Banging Camp;Separation Sunday;2005
10268;0_UNK_0;The Hold Steady;Charlemagne in Sweatpants;Separation Sunday;2005
10269;0_UNK_0;The Hold Steady;Stevie Nix;Separation Sunday;2005
10270;0_UNK_0;The Hold Steady;Multitude of Casualities;Separation Sunday;2005
10271;0_UNK_0;The Hold Steady;Don't Let Me Explode;Separation Sunday;2005
10272;0_UNK_0;The Hold Steady;Chicago Seemed Tired Last Night;Separation Sunday;2005
10273;0_UNK_0;The Hold Steady;Crucifixion Cruise;Separation Sunday;2005
10274;0_UNK_0;The Hold Steady;How a Resurrection Really Feels;Separation Sunday;2005
10279;0_UNK_0;The Hollow Men;The Drowning Man;The Man Who Would Be King;1989
10759;0_UNK_0;Inspiral Carpets;Generations;Generations;1995
10761;0_UNK_0;Inspiral Carpets;Dragging Me Down;Revenge of the Goldfish;1992
10763;0_UNK_0;Inspiral Carpets;Two Worlds Collide;The Singles;1995
12333;0_UNK_0;Juliana Hatfield;Everyone Loves Me But You;Hey Babe;1992
12334;0_UNK_0;Juliana Hatfield;I See You;Hey Babe;1992
12548;0_UNK_0;Kitchens Of Distinction;Smiling;The Death Of Cool;1992
13828;0_UNK_0;Luna²;Slash Your Tires;Lunapark;1992
15831;0_UNK_0;The Mountain Goats;Damn These Vampires;All Eternals Deck;2011
15832;0_UNK_0;The Mountain Goats;Birth of Serpents;All Eternals Deck;2011
15833;0_UNK_0;The Mountain Goats;Estate Sale Sign;All Eternals Deck;2011
15834;0_UNK_0;The Mountain Goats;Age of Kings;All Eternals Deck;2011
15835;0_UNK_0;The Mountain Goats;The Autopsy Garland;All Eternals Deck;2011
15836;0_UNK_0;The Mountain Goats;Beautiful Gas Mask;All Eternals Deck;2011
15837;0_UNK_0;The Mountain Goats;High Hawk Season;All Eternals Deck;2011
15838;0_UNK_0;The Mountain Goats;Prowl Great Cain;All Eternals Deck;2011
15839;0_UNK_0;The Mountain Goats;Sourdoire Valley Song;All Eternals Deck;2011
15840;0_UNK_0;The Mountain Goats;Outer Scorpion Squadron;All Eternals Deck;2011
15841;0_UNK_0;The Mountain Goats;For Charles Bronson;All Eternals Deck;2011
15842;0_UNK_0;The Mountain Goats;Never Quite Free;All Eternals Deck;2011
15843;0_UNK_0;The Mountain Goats;Liza Forever Minnelli;All Eternals Deck;2011
15844;0_UNK_0;The Mountain Goats;You or Your Memory;The Sunset Tree;2005
15845;0_UNK_0;The Mountain Goats;Broom People;The Sunset Tree;2005
15846;0_UNK_0;The Mountain Goats;This Year;The Sunset Tree;2005
15847;0_UNK_0;The Mountain Goats;Dilaudid;The Sunset Tree;2005
15848;0_UNK_0;The Mountain Goats;Dance Music;The Sunset Tree;2005
15849;0_UNK_0;The Mountain Goats;Dinu Lipatti's Bones;The Sunset Tree;2005
15850;0_UNK_0;The Mountain Goats;Up the Wolves;The Sunset Tree;2005
15851;0_UNK_0;The Mountain Goats;Lion's Teeth;The Sunset Tree;2005
15852;0_UNK_0;The Mountain Goats;Hast Thou Considered the Tetrapod?;The Sunset Tree;2005
15853;0_UNK_0;The Mountain Goats;Magpie;The Sunset Tree;2005
15854;0_UNK_0;The Mountain Goats;Song for Dennis Brown;The Sunset Tree;2005
15855;0_UNK_0;The Mountain Goats;Love Love Love;The Sunset Tree;2005
15856;0_UNK_0;The Mountain Goats;Pale Green Things;The Sunset Tree;2005
15857;0_UNK_0;The Mountain Goats;Tallahassee;Tallahassee;2008
15858;0_UNK_0;The Mountain Goats;First Few Desperate Hours;Tallahassee;2008
15859;0_UNK_0;The Mountain Goats;Southwood Plantation Road;Tallahassee;2008
15860;0_UNK_0;The Mountain Goats;Games Shows Touch Our Lives;Tallahassee;2008
15861;0_UNK_0;The Mountain Goats;The House That Dripped Blood;Tallahassee;2008
15862;0_UNK_0;The Mountain Goats;Idylls of the King;Tallahassee;2008
15863;0_UNK_0;The Mountain Goats;No Children;Tallahassee;2008
15864;0_UNK_0;The Mountain Goats;See America Right;Tallahassee;2008
15865;0_UNK_0;The Mountain Goats;Peacocks;Tallahassee;2008
15866;0_UNK_0;The Mountain Goats;International Small Arms Traffic Blues;Tallahassee;2008
15867;0_UNK_0;The Mountain Goats;Have to Explode;Tallahassee;2008
15868;0_UNK_0;The Mountain Goats;Old College Try;Tallahassee;2008
15869;0_UNK_0;The Mountain Goats;Oceanographer's Choice;Tallahassee;2008
15870;0_UNK_0;The Mountain Goats;Alpha Rats Nest;Tallahassee;2008
16246;0_UNK_0;Ned's Atomic Dustbin;Happy;God Fodder;1991
16390;0_UNK_0;New Model Army;Purity;Impurity;1990
16952;0_UNK_0;Northside;Take 5;Chicken Rhythms;1991
16953;0_UNK_0;Northside;Shall We Take a Trip?;My Rising Star;1990
17203;0_UNK_0;The Orwells;Southern Comfort;Disgraceland;2014
17204;0_UNK_0;The Orwells;The Righteous One;Disgraceland;2014
17205;0_UNK_0;The Orwells;Dirty Sheets;Disgraceland;2014
17206;0_UNK_0;The Orwells;Bathroom Tile Blues;Disgraceland;2014
17207;0_UNK_0;The Orwells;Gotta Get Down;Disgraceland;2014
17208;0_UNK_0;The Orwells;Let It Burn;Disgraceland;2014
17209;0_UNK_0;The Orwells;Who Needs You;Disgraceland;2014
17210;0_UNK_0;The Orwells;Norman;Disgraceland;2014
17211;0_UNK_0;The Orwells;Always N Forever;Disgraceland;2014
17212;0_UNK_0;The Orwells;Blood Bubbles;Disgraceland;2014
17213;0_UNK_0;The Orwells;North Ave.;Disgraceland;2014
18137;0_UNK_0;The Pink Slips;Trigger;Trigger - EP;2018
18138;0_UNK_0;The Pink Slips;Danger;Trigger - EP;2018
18139;0_UNK_0;The Pink Slips;Texas;Trigger - EP;2018
18140;0_UNK_0;The Pink Slips;Power;Trigger - EP;2018
18141;0_UNK_0;The Pink Slips;Satan's Home;Trigger - EP;2018
18142;0_UNK_0;The Pink Slips;Hello Heaven;Trigger - EP;2018
18529;0_UNK_0;The Primitives;You Are the Way;Galore;1991
19114;0_UNK_0;The Railway Children;every beat of the heart;Native Place;1990
19294;0_UNK_0;The Rapture;Out Of The Races And Onto The Tracks;Out Of The Races And Onto The Tracks;2001
19295;0_UNK_0;The Rapture;Modern Romance;Out Of The Races And Onto The Tracks;2001
19296;0_UNK_0;The Rapture;Caravan;Out Of The Races And Onto The Tracks;2001
19297;0_UNK_0;The Rapture;The Jam;Out Of The Races And Onto The Tracks;2001
19298;0_UNK_0;The Rapture;The Pop Song;Out Of The Races And Onto The Tracks;2001
19299;0_UNK_0;The Rapture;Confrontation;Out Of The Races And Onto The Tracks;2001
19540;0_UNK_0;The Replacements;Left Of The Dial;All for Nothing/Nothing for All;1997
19541;0_UNK_0;The Replacements;Kiss Me On The Bus;All for Nothing/Nothing for All;1997
19542;0_UNK_0;The Replacements;Bastards Of Young;All for Nothing/Nothing for All;1997
19543;0_UNK_0;The Replacements;Here Comes A Regular;All for Nothing/Nothing for All;1997
19544;0_UNK_0;The Replacements;Skyway;All for Nothing/Nothing for All;1997
19545;0_UNK_0;The Replacements;Alex Chilton;All for Nothing/Nothing for All;1997
19546;0_UNK_0;The Replacements;The Ledge;All for Nothing/Nothing for All;1997
19547;0_UNK_0;The Replacements;Can't Hardly Wait;All for Nothing/Nothing for All;1997
19548;0_UNK_0;The Replacements;I'll Be You;All for Nothing/Nothing for All;1997
19549;0_UNK_0;The Replacements;Achin' To Be;All for Nothing/Nothing for All;1997
19550;0_UNK_0;The Replacements;Talent Show;All for Nothing/Nothing for All;1997
19551;0_UNK_0;The Replacements;Anywhere's Better Than Here;All for Nothing/Nothing for All;1997
19552;0_UNK_0;The Replacements;Merry Go Round;All for Nothing/Nothing for All;1997
19553;0_UNK_0;The Replacements;Sadly Beautiful;All for Nothing/Nothing for All;1997
19554;0_UNK_0;The Replacements;Nobody;All for Nothing/Nothing for All;1997
19555;0_UNK_0;The Replacements;Someone Take The Wheel;All for Nothing/Nothing for All;1997
19556;0_UNK_0;The Replacements;Can't Hardly Wait (The Tim Version);All for Nothing/Nothing for All;1997
19557;0_UNK_0;The Replacements;Birthday Gal;All for Nothing/Nothing for All;1997
19558;0_UNK_0;The Replacements;Beer For Breakfast;All for Nothing/Nothing for All;1997
19559;0_UNK_0;The Replacements;Till We're Nude;All for Nothing/Nothing for All;1997
19560;0_UNK_0;The Replacements;Election Day;All for Nothing/Nothing for All;1997
19561;0_UNK_0;The Replacements;Jungle Rock;All for Nothing/Nothing for All;1997
19562;0_UNK_0;The Replacements;All He Wants To Do Is Fish;All for Nothing/Nothing for All;1997
19563;0_UNK_0;The Replacements;Date To Church;All for Nothing/Nothing for All;1997
19564;0_UNK_0;The Replacements;Cruella DeVille;All for Nothing/Nothing for All;1997
19565;0_UNK_0;The Replacements;We Know The Night;All for Nothing/Nothing for All;1997
19566;0_UNK_0;The Replacements;Portland;All for Nothing/Nothing for All;1997
19567;0_UNK_0;The Replacements;Wake Up;All for Nothing/Nothing for All;1997
19568;0_UNK_0;The Replacements;Satellite;All for Nothing/Nothing for All;1997
19569;0_UNK_0;The Replacements;Like A Rolling Pin;All for Nothing/Nothing for All;1997
19570;0_UNK_0;The Replacements;Another Girl, Another Planet;All for Nothing/Nothing for All;1997
19571;0_UNK_0;The Replacements;Who Knows;All for Nothing/Nothing for All;1997
19572;0_UNK_0;The Replacements;All Shook Down;All for Nothing/Nothing for All;1997
19643;0_UNK_0;The Replacements;I Don't Know;Pleased to Meet Me;1997
21767;0_UNK_0;The Smiths;William, It Was Really Nothing;Hatful Of Hollow;1984
21768;0_UNK_0;The Smiths;What Difference Does It Make;Hatful Of Hollow;1984
21769;0_UNK_0;The Smiths;These Things Take Time;Hatful Of Hollow;1984
21770;0_UNK_0;The Smiths;This Charming Man;Hatful Of Hollow;1984
21771;0_UNK_0;The Smiths;How Soon Is Now;Hatful Of Hollow;1984
21772;0_UNK_0;The Smiths;Handsome Devil;Hatful Of Hollow;1984
21773;0_UNK_0;The Smiths;Hand In Glove;Hatful Of Hollow;1984
21774;0_UNK_0;The Smiths;Still Ill;Hatful Of Hollow;1984
21775;0_UNK_0;The Smiths;Heaven Knows I'm Miserable Now;Hatful Of Hollow;1984
21776;0_UNK_0;The Smiths;This Night Has Opened My Eyes;Hatful Of Hollow;1984
21777;0_UNK_0;The Smiths;You've Got Everything Now;Hatful Of Hollow;1984
21778;0_UNK_0;The Smiths;Accept Yourself;Hatful Of Hollow;1984
21779;0_UNK_0;The Smiths;Girl Afraid;Hatful Of Hollow;1984
21780;0_UNK_0;The Smiths;Back To The Old House;Hatful Of Hollow;1984
21781;0_UNK_0;The Smiths;Reel Around The Fountain;Hatful Of Hollow;1984
21782;0_UNK_0;The Smiths;Please, Please, Please, Let Me Get What I Want;Hatful Of Hollow;1984
21793;0_UNK_0;The Smiths;The Queen Is Dead;The Queen Is Dead;1986
21794;0_UNK_0;The Smiths;Frankly, Mr Shankly;The Queen Is Dead;1986
21795;0_UNK_0;The Smiths;I Know It's Over;The Queen Is Dead;1986
21796;0_UNK_0;The Smiths;Never Had No One Ever;The Queen Is Dead;1986
21797;0_UNK_0;The Smiths;Cementry Gates;The Queen Is Dead;1986
21798;0_UNK_0;The Smiths;Bigmouth Strikes Again;The Queen Is Dead;1986
21799;0_UNK_0;The Smiths;The Boy With The Thorn In His Side;The Queen Is Dead;1986
21800;0_UNK_0;The Smiths;Vicar In A Tutu;The Queen Is Dead;1986
21801;0_UNK_0;The Smiths;There Is A Light That Never ..;The Queen Is Dead;1986
21802;0_UNK_0;The Smiths;Some Girls Are Bigger Than Others;The Queen Is Dead;1986
21809;0_UNK_0;The Smiths;Reel Around The Fountain;The Smiths;1984
21810;0_UNK_0;The Smiths;You've Got Everything Now;The Smiths;1984
21811;0_UNK_0;The Smiths;Miserable Lie;The Smiths;1984
21812;0_UNK_0;The Smiths;Pretty Girls Make Graves;The Smiths;1984
21814;0_UNK_0;The Smiths;The Hand That Rocks The Cradle;The Smiths;1984
21815;0_UNK_0;The Smiths;This Charming Man;The Smiths;1984
21816;0_UNK_0;The Smiths;Still Ill;The Smiths;1984
21817;0_UNK_0;The Smiths;Hand In Glove;The Smiths;1984
21818;0_UNK_0;The Smiths;What Difference Does It Make?;The Smiths;1984
21819;0_UNK_0;The Smiths;I Don't Owe You Anything;The Smiths;1984
21820;0_UNK_0;The Smiths;Suffer Little Children;The Smiths;1984
21821;0_UNK_0;The Smiths;Reel Around The Fountain;The Smiths;1984
21822;0_UNK_0;The Smiths;Still Ill;The Smiths;1984
21823;0_UNK_0;The Smiths;Hand In Glove;The Smiths;1984
21824;0_UNK_0;The Smiths;I Don't Owe You Anything;The Smiths;1984
21826;0_UNK_0;The Smiths;Suffer Little Children;The Smiths;1984
22047;0_UNK_0;Soho;Hippychick (Happiness Is a Warm Hippy mix);Hippychick;1990
22051;0_UNK_0;Sonic Youth;100%;Dirty;1992
22052;0_UNK_0;Sonic Youth;Swimsuit Issue;Dirty;1992
22053;0_UNK_0;Sonic Youth;Theresa's Sound-World;Dirty;1992
22054;0_UNK_0;Sonic Youth;Drunken Butterfly;Dirty;1992
22055;0_UNK_0;Sonic Youth;Shoot;Dirty;1992
22056;0_UNK_0;Sonic Youth;Wish Fulfillment;Dirty;1992
22057;0_UNK_0;Sonic Youth;Sugar Kane;Dirty;1992
22058;0_UNK_0;Sonic Youth;Orange Rolls, Angel's Spit;Dirty;1992
22059;0_UNK_0;Sonic Youth;Youth Against Facism;Dirty;1992
22060;0_UNK_0;Sonic Youth;Nic Fit;Dirty;1992
22061;0_UNK_0;Sonic Youth;On The Strip;Dirty;1992
22062;0_UNK_0;Sonic Youth;Chapel Hill;Dirty;1992
22063;0_UNK_0;Sonic Youth;JC;Dirty;1992
22064;0_UNK_0;Sonic Youth;Purr;Dirty;1992
22065;0_UNK_0;Sonic Youth;Creme Brulee;Dirty;1992
22631;0_UNK_0;The Stone Roses;One Love;One Love;1990
22634;0_UNK_0;The Stone Roses;Standing Here;Turns Into Stone;1992
22758;0_UNK_0;The Strokes;Is This It?;Is This It;2002
