;";show_date;Artist;Title;Album;Year"
0;"0;0_UNK_0;(Young) Pioneers;Food Stamps;First Virginia Volunteers;1995"
1;"1;0_UNK_0;(Young) Pioneers;White Like Me;First Virginia Volunteers;1995"
2;"2;0_UNK_0;(Young) Pioneers;Battlefield National Park;First Virginia Volunteers;1995"
3;"3;0_UNK_0;(Young) Pioneers;Older & Poorer;First Virginia Volunteers;1995"
4;"4;0_UNK_0;(Young) Pioneers;Murder Has No Tongue;First Virginia Volunteers;1995"
5;"5;0_UNK_0;(Young) Pioneers;Raid On Kensington Avenue;First Virginia Volunteers;1995"
6;"6;0_UNK_0;(Young) Pioneers;""""""_______"""""";First Virginia Volunteers;1995"
7;"7;0_UNK_0;(Young) Pioneers;The Right To Remain Silent;First Virginia Volunteers;1995"
8;"8;0_UNK_0;(Young) Pioneers;The Whereabouts Of Johnny Gosh;First Virginia Volunteers;1995"
9;"9;0_UNK_0;(Young) Pioneers;I'm So Afraid Of Getting Cancer;First Virginia Volunteers;1995"
10;"10;0_UNK_0;(Young) Pioneers;Evidence Indicating Other Than Suicide;First Virginia Volunteers;1995"
11;"11;0_UNK_0;(Young) Pioneers;Red Tick Coonhound;First Virginia Volunteers;1995"
12;"12;0_UNK_0;(Young) Pioneers;Brazen Hell;First Virginia Volunteers;1995"
13;"13;0_UNK_0;(Young) Pioneers;Joy Kills Sorrow;First Virginia Volunteers;1995"
14;"14;0_UNK_0;(Young) Pioneers;Take The Fifth;First Virginia Volunteers;1995"
15;"15;0_UNK_0;(Young) Pioneers;Day Of The Wolves;First Virginia Volunteers;1995"
16;"16;0_UNK_0;(Young) Pioneers;Now I Feel Much Safer;First Virginia Volunteers;1995"
17;"17;0_UNK_0;(Young) Pioneers;Ballad of The (Young) Pioneers;Free The (Young) Pioneers Now!;1998"
18;"18;0_UNK_0;(Young) Pioneers;Downtown Tragedy;Free The (Young) Pioneers Now!;1998"
19;"19;0_UNK_0;(Young) Pioneers;The Movement Loves You;Free The (Young) Pioneers Now!;1998"
20;"20;0_UNK_0;(Young) Pioneers;Meeting Over Yonder;Free The (Young) Pioneers Now!;1998"
21;"21;0_UNK_0;(Young) Pioneers;Seven Days in May;Free The (Young) Pioneers Now!;1998"
22;"22;0_UNK_0;(Young) Pioneers;Drown in the James;Free The (Young) Pioneers Now!;1998"
23;"23;0_UNK_0;(Young) Pioneers;Talkin' to Johnny Law Blues;Free The (Young) Pioneers Now!;1998"
24;"24;0_UNK_0;(Young) Pioneers;We Ain't Even Married;Free The (Young) Pioneers Now!;1998"
25;"25;0_UNK_0;(Young) Pioneers;Last Day Message;Free The (Young) Pioneers Now!;1998"
26;"26;0_UNK_0;(Young) Pioneers;We Don't Believe in Criminals;Free The (Young) Pioneers Now!;1998"
27;"27;0_UNK_0;(Young) Pioneers;I.D.S.T.;Free The (Young) Pioneers Now!;1998"
28;"28;0_UNK_0;(Young) Pioneers;Citizen Soldier;Free The (Young) Pioneers Now!;1998"
29;"29;0_UNK_0;(Young) Pioneers;Praise the Lord and Pass the Ammunition;Free The (Young) Pioneers Now!;1998"
30;"30;0_UNK_0;(Young) Pioneers;Alarms and Sirens;Free the Young Pioneers Now!;1998"
31;"31;0_UNK_0;:30 Seconds Over Tokyo;Epitaphized;:30 Seconds Over Tokyo;1998"
