artist;title;album;year
Arch Enemy;Enemy Within;Wages of Sin;2002
Pantera;Walk (cervical edit);Walk (EP);1993
Manowar;Call To Arms;Warriors of the World;2002
Eddie Antonini;I Want Out;When Water Became Ice;1998
Faith No More;We Care A Lot (Original Version);Who Cares A Lot? The Greatest Hits [Disc 1];1998
Faith No More;The World Is Yours;Who Cares A Lot? The Greatest Hits [Disc 2];1998
Ministry;N.W.O.;Psalm 69;1992
Corrosion Of Conformity;Mad World;Animosity;1985
David Shankle Group;A Raven At Midnight;Ashes to Ashes;2003
Iron Maiden;Running Free (Live);Best Of The Beast;1996
S.O.D.;The Crackhead Song;Bigger Than The Devil;2000
S.O.D.;Raise Your Sword;Bigger Than The Devil;2000
Black Sabbath;N.I.B.;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;The Wizard;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;The Wizard;Black Sabbath;1970
Black Sabbath;Tomorrow`s Dream;Black Sabbath, Vol.4;1972
Judas Priest;Metal Gods;British Steel;1980
Judas Priest;Metal Gods;British Steel [The Re-Masters];1980
Ryker's;Brother Against Brother;Brother Against Brother;1994
Arch Enemy;Dead Inside;Burning Bridges;2001
Megadeth;Dread & The Fugitive Mind;Capitol Punishment: The Megadeth Years;2000
Alestorm;Captain Morgan's Revenge;Captain Morgan's Revenge;2008
Pantera;Primal Concrete Sledge;Cowboys From Hell;1990
Cycle Sluts from Hell;By the Balls;Cycle Sluts from Hell;1991
Judas Priest;Jawbreaker;Defenders Of The Faith;1984
Judas Priest;Jawbreaker;Defenders Of The Faith [Remastered];1984
